User Id,User Name,location,Lat,Lon,USA
270349478,NewsyMartin,"Manchester, England",53.4807593,-2.2426305,0.0
732712487657865217,007butthead,,,,
2978852505,michaelconn_ny,New York Metro/ Hudson Valley Region,41.920901799999996,-73.9612887,1.0
977327563,MKvidahl,,,,
56921680,CintaRose,,,,
2315590417,allfloridapaper,"Medley, Florida",25.840652600000002,-80.32644040000001,1.0
787486184,JoeRenierMD,,,,
336564991,TPFFA,Toronto,43.653226000000004,-79.3831843,0.0
2213014429,nixw20,,,,
1138837519745765377,Ashutos18354322,,,,
1896835741,DNewtonC,"Auderghem, Belgique",50.8164064,4.4265181,0.0
2148203406,SpiritGarage,"Minneapolis, MN",44.977753,-93.2650108,1.0
112236099,BrandeewineB,"Surprise, AZ",33.62923370000001,-112.36792790000001,1.0
1253789867353550850,comebackkc,Kansas City,39.0997265,-94.5785667,1.0
1160519096712269824,tatsianapaulava,LA,34.0522342,-118.24368490000002,1.0
24994592,PureRubyDragon,"Whitefish, MT",48.4106373,-114.3352652,1.0
3699306921,kuantancurls,Scotland ,56.49067120000001,-4.2026458,0.0
1241799681300201474,PdmapunjabO,"Lahore, Pakistan",31.5203696,74.3587473,0.0
1163492026861727745,WelcomeHomePB,,,,
23980537,adamstiles,"Toronto, Ontario",43.653226000000004,-79.3831843,0.0
1258211760537886720,SolidMCTrends,,,,
1705092528,ColoradoDANK,80207,39.7619439,-104.9213643,1.0
857626571162533889,VeroLocks,"California, USA",36.778261,-119.4179324,1.0
1179816813380681735,soni_744,USA+LAHORE,31.533199,74.3792398,0.0
42139738,shinykathy,London City Island aka Eastend,51.512002200000005,0.0055131,0.0
1240324489726103553,freedom29198980,"England, United Kingdom",52.3555177,-1.1743197,0.0
27885201,stuartvision,MANHATTAN,40.783060299999995,-73.9712488,1.0
2758397699,stantherunner,"Venice, Florida (Paradise) 🏖",27.110006199999997,-82.4249415,1.0
807585951480320000,KPSouthDiv,"34,Parkstreet ,Kolkata 16",22.5486975,88.3572375,0.0
1326042439,SobiahQ,🌎,,,
55643339,paulaannev,Tokyo,35.6761919,139.65031059999998,0.0
1113825875009638400,workplusoffice,"Miami, FL",25.7616798,-80.1917902,1.0
403513391,piedmontcare,,,,
104929660,miracalix,🇬🇧🇪🇺warp records ,,,
28841258,Marina1227,,,,
788254266,TonyCurran69,"Los Angeles, CA London UK ",34.0594689,-118.413944,1.0
351366744,19blocksup,Worldwide,40.042140100000005,-76.38880870000001,1.0
748211014135648257,NELivingUS,"New England, USA",43.965388899999994,-70.8226541,1.0
789129620188782593,Heydontfrown,"Lahore, Pakistan",31.5203696,74.3587473,0.0
120173116,djidji84,,,,
133884387,BlueElection,Between Ennui & Weltschmerz,,,
1097245555854635009,SamBergerShow,"Boston, MA",42.360082500000004,-71.0588801,1.0
329729606,crzy4joe,Massachusetts,42.4072107,-71.3824374,1.0
23086574,Arriadna,"Florida, USA",27.664827399999997,-81.5157535,1.0
1237571449025482752,KTharase,"Oregon, USA",43.8041334,-120.55420120000001,1.0
1208870791133245441,marie06448335,Northern Ireland,54.7877149,-6.4923145,0.0
39640649,trafficjamjen,Chicago,41.8781136,-87.62979820000001,1.0
18442988,Vintagesquirrel,Massachusetts,42.4072107,-71.3824374,1.0
42079976,ellinidata,New York City,40.7127753,-74.0059728,1.0
723352020246122497,swoozyqyah,"Connecticut, USA",41.60322070000001,-73.087749,1.0
70412707,fhpclinic,Crystal Lake IL,42.2411344,-88.3161965,1.0
446873704,ErinClouse,"Salt lake city, Utah",40.760779299999996,-111.89104740000002,1.0
1046173073181945857,AhanPatani,,,,
764142572,Farbeka,New York,40.7127753,-74.0059728,1.0
855428178298511360,LisaLamb8493707,🇺🇸,,,
1047301775030509568,MeredithHKruse,"Washington, DC",38.9071923,-77.03687070000001,1.0
812361923304034304,morethanmySLE,"Manhattan, NY",40.783060299999995,-73.9712488,1.0
310404837,NealBrowning,"Bothell, WA",47.760111,-122.2054452,1.0
25838832,peterndoro,South Africa,-30.559482,22.937506,0.0
24001992,kramwest1,Minneapolis,44.977753,-93.2650108,1.0
1126850945571282944,SMcBriggs,"Virginia, USA",37.4315734,-78.65689420000001,1.0
415288121,julieerindesign,Vancouver,49.282729100000005,-123.1207375,0.0
18053163,laurieallee,Los Angeles,34.0522342,-118.24368490000002,1.0
2823372090,Younique_ala_M,USA*Mexico*Canada*France*MORE,,,
1118620614,madamcheekylais,"St. Louis, MO",38.6270025,-90.1994042,1.0
103877434,txkimberco,"Texas, USA",31.968598800000002,-99.9018131,1.0
1134178721944940544,Deborah00418507,,,,
282076470,AgBioWorld,"Alabama, USA",32.3182314,-86.902298,1.0
3099089519,SkyzMetroFM,"Bulawayo, Zimbabwe.",-20.1457125,28.587338800000005,0.0
1191655030115446784,ShepherdDhlami6,,,,
17718867,tatn,"NY, NY USA",40.7127753,-74.0059728,1.0
405738850,LGallmon,,,,
3374647845,USANewsAgency,"New York, NY",40.7127753,-74.0059728,1.0
414532466,katy_32847,"Oklahoma City, OK",35.4675602,-97.5164276,1.0
51241418,taradublinrocks,"Portland, Oregon",45.5051064,-122.6750261,1.0
1176137453792583685,ModellaireB,"Hammond, Louisiana",30.5043583,-90.4611995,1.0
360760106,VACatLady,VA,36.0985705,-94.15711280000001,1.0
824744688003354624,MsArchiteuthis,,,,
93430821,serenece,United States,37.09024,-95.712891,1.0
396536408,somepplrk,,,,
184014593,Solong2012,,,,
1212975653512867840,vijay_kumarvk,earth,37.23210770000001,-95.7243335,1.0
803782681276416002,EricLuna1216,Western NewYork,43.3447295,-75.38785250000001,1.0
2319527948,JoanDetz,"Philadelphia, USA",39.9525839,-75.1652215,1.0
1349669078,RobertMihaly1,"Ohio, USA",40.4172871,-82.907123,1.0
1237226318842023936,KarenExorcist,,,,
1226897333817790464,BootsieO,,,,
4357541479,BoardInMalibu,"Manhattan, Malibu",40.705918200000006,-74.0017501,1.0
3293325982,MixifyBeauty,,,,
926780115710705664,DioAlexandro2,"Province of Leningrad, Russia",60.0793208,31.892664500000002,0.0
2389764253,AskDoctorEd,"On the tundra in Rochester, Minnesota",43.9591064,-92.4639739,1.0
128123515,WayToSkateKate,"Arizona, USA",34.048928100000005,-111.0937311,1.0
1092981085359820800,OperaSocialist,,,,
404398207,sheroohasan,"Allahabad, India",25.435801100000003,81.846311,0.0
1248551256290816001,ChennaiHotelAs1,,,,
219643530,brajeshlive,"Lucknow, India",26.846693699999996,80.946166,0.0
745184961913708544,jkkaushalamethi,"Amethi, India",26.1540538,81.814238,0.0
823108747,maansharmaa,aburoad,24.464073100000004,72.7717775,0.0
766512458026680321,Siddeshshiva,"Gorakhpur, India",26.760554499999998,83.37316750000001,0.0
1034263552003997697,Dheerendrayada_,"Kunda, Pratapgarh उत्तर प्रदेश",25.717531,81.521241,0.0
1200835504872312832,KorbuAmjad,"Pune University, India",18.5523618,73.826655,0.0
2903572423,ca350370031d4d5,"Meerut, UP, INDIA",28.984461800000002,77.7064137,0.0
812392382977212416,TheIvanIvanka,,,,
1213860235355414528,Parveja89491792,,,,
984351920218193921,happylife_india,"Bhilwara, India",25.3407388,74.63131829999999,0.0
148779485,erickokho,"Kota Surabaya, Jawa Timur",-7.2574719,112.7520883,0.0
1119491029478981632,ranjayvishwkar8,up India (बाशिंदा बिहार का,26.8467088,80.94615920000001,0.0
427814955,LittleJohn_MD,Kent G.B. 🇬🇧,51.2787075,0.5217254,0.0
1048187586462863360,LucySkinnyjeans,United States,37.09024,-95.712891,1.0
821983678226190336,IndeComms,Scotland,56.49067120000001,-4.2026458,0.0
1217388998277992448,anwarmirza2020,"Uttar Pradesh, India",26.8467088,80.94615920000001,0.0
1244892413262311425,COVIDNewsByMIB,,,,
806806183210205185,KPNorthDiv,"Kolkata, India",22.572646,88.363895,0.0
2594453256,firozabadpolice,"FIROZABADUttar Pradesh, India",27.159196100000003,78.39573309999999,0.0
221353394,MYasheenTv,"Kaushambi, India",25.361054,81.4031707,0.0
2208529736,cpbbsrctc,Bhubaneswar,20.2960587,85.8245398,0.0
3293574853,DavidGlantz3,"Miami, FL",25.7616798,-80.1917902,1.0
929467264881000448,PatriotTruth1,,,,
432145612,BruteForceSwim,Philadelphia,39.9525839,-75.1652215,1.0
1455506612,cassandra17lina,"Scienceville, NC",41.113669099999996,-80.6167405,1.0
25894917,JoeBraxtonTouch,"ÜT: 38.975121,-76.888847",30.2849185,-97.73405670000001,1.0
1172091459324923904,Munish59832737,,,,
826675639566606336,Yeribaba_II,,,,
838601010046193664,staceybuntin414,"Kentucky, USA",37.839333200000006,-84.2700179,1.0
919239623494291456,tkphd,"Gaithersburg, MD",39.143968900000004,-77.2016062,1.0
725762049288986624,randicious1,"California, USA",36.778261,-119.4179324,1.0
236351440,Esteft,U.K.,55.378051,-3.435973,0.0
823267778484387840,cfv_modmom33,,,,
