Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,User Location,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"@ChuckCallesto Not even if h3ll were to freeze over 🤨

#NoMasks 
#NoStayAtHome either",2020-04-28 05:55:21,1255012710305001472,816523406392709120,EllieMa85677897,"Arizona, USA",,,,"['NoMasks', 'NoStayAtHome']",0,0,en,Twitter for Android,1.254618555947065e+18,4765364386.0
@LegendaryEnergy @KurtSchlichter He ain't on our side bruh. This shit will go on as long as we comply. I am not complying. #nomask #noshot #notest,2020-04-28 06:16:48,1255018106302447617,935700282473877506,Saddler_777,"Duke's Archives, Anor Londo",,,,"['nomask', 'noshot', 'notest']",0,0,en,Twitter for Android,1.2550092034056233e+18,226194552.0
"My body my choice #NoMasks 
My life Virus' choice #nomask",2020-04-28 06:38:21,1255023531638706177,1195349583578030080,RuiqingYu,"MA, Worchester",,,,"['NoMasks', 'nomask']",1,1,en,Twitter Web App,,
"While @canarabank is preaching social distancing, this is how your employee at Ashok Vihar Branch, Deep Market New Delhi, managing entry/exit of people. #nomask #worlddayforsafetyandhealthatwork #SocialDistancing . You are putting many lives in danger and at the same time ....... https://t.co/pSQIwmIhpo https://t.co/3uoOew3VzR",2020-04-28 09:23:34,1255065106800467968,54871730,RajeshRB,,,,,"['nomask', 'worlddayforsafetyandhealthatwork', 'SocialDistancing']",1,2,en,Twitter Web App,,
"@tnewtondunn Masks are bad science. Feels like Nicola Sturgeon and others wanna prolong lockdown by stalling inevitable spread to herd immunity to heap worse economic pain on us to go crawling back to EU! Here's the best explanation I've seen why #NoMasks for #Covid19
https://t.co/tN6Ul8Yt3q",2020-04-28 14:15:18,1255138526892449803,3087526943,ChrisMGra,London born,,,,"['NoMasks', 'Covid19']",1,0,en,Twitter Web App,1.2551005505862697e+18,20598137.0
Feels good to be able to sit down in a restaurant again. #50percentcapacity #nomask https://t.co/bjpO9dEeSw,2020-04-28 16:09:27,1255167251533180928,484285128,misfitcollins,"Clarksville, TN/14,000 feet",,,,"['50percentcapacity', 'nomask']",0,2,en,Twitter for iPhone,,
"Did you see #GOP #Pence touring the #MayoClinic? The only man (of course no women) in the room who doesn't understand #COVID19, hence #nomask. The person leading the pandemic prevention team? #epicfailure #DarwinAwards https://t.co/5jFDCxHkta",2020-04-28 18:17:11,1255199396679073797,14804916,relaxocat,Chicago,,,,"['GOP', 'Pence', 'MayoClinic', 'COVID19', 'nomask', 'epicfailure', 'DarwinAwards']",0,1,en,Twitter for iPhone,,
We must all fight the draconian measures of trying to force and mandate masks! Cloth masks do not help &amp; wearing masks are not healthy. #nomasks https://t.co/gVWbIA0eZ6,2020-04-28 18:51:27,1255208021850034176,1239193125849108480,Maggie53211,United States,,,,['nomasks'],2,3,en,Twitter for iPhone,,
"@GovMikeDeWine @DrAmyActon There you go pushing vaccines. Vaccines are Toxic and Dangerous. Vaccine Manufacturers have NO Liability. In addition, Payouts by the national Vaccine Injury Compensation Program, or VICP, have now topped $4 billion.
#nomask #NoVaccineForMe",2020-04-28 19:14:00,1255213695464026112,797880652536446977,Lynn23232323,,,,,"['nomask', 'NoVaccineForMe']",0,17,en,Twitter for Android,1.2552054484264428e+18,18820392.0
"@brianschatz @Mike_Pence HOW FUCKING DARE YOU 
But shame on @MayoClinic FOR ALLOWING #pence #nomask ENDANGER #patients OMG #penceresign WE Don't listen to you step down from Chairing #TaskForce #replacePencetaskforce OMG
#mayoclinic shame on you too #penceknew",2020-04-28 19:20:38,1255215363161292804,1686369542,rr7lv,USA/TN,,,,"['pence', 'nomask', 'patients', 'penceresign', 'TaskForce', 'replacePencetaskforce', 'mayoclinic', 'penceknew']",0,2,en,Twitter Web App,1.2552092735937208e+18,47747074.0
